Rater,Item,Median (IQR) human1,Median (IQR) human2,Rank-biserial r,95% CI,p-value
Patients,Clarity,"5 (3.75, 5.0)","3 (3.0, 5.0)",0.315,"[0.050, 0.557]",0.021
,Appropriateness of the content,"4 (3.0, 5.0)","3 (3.0, 4.25)",0.213,"[-0.069, 0.484]",0.131
,Positivity of the content,"4 (3.0, 5.0)","3 (3.0, 5.0)",0.197,"[-0.068, 0.478]",0.162
,Appropriateness of the language,"4 (3.0, 5.0)","3 (2.75, 4.0)",0.328,"[0.045, 0.578]",0.020
Expert 1,Clarity,"5 (4.0, 5.0)","4 (4.0, 4.0)",0.352,"[0.103, 0.580]",0.008
,Completness,"4 (4.0, 5.0)","5 (4.0, 5.0)",-0.201,"[-0.434, 0.047]",0.112
,Correctness,"4 (3.0, 4.0)","4 (4.0, 5.0)",-0.251,"[-0.481, -0.003]",0.051
,Appropriateness of the language,"4 (3.75, 5.0)","4 (4.0, 4.0)",-0.002,"[-0.246, 0.258]",0.994
Expert 2,Clarity,"4 (3.75, 4.0)","3 (3.0, 4.0)",0.265,"[-0.006, 0.507]",0.046
,Completness,"3 (3.0, 4.0)","4 (3.0, 4.0)",-0.294,"[-0.534, -0.037]",0.029
,Correctness,"3 (2.0, 4.0)","4 (3.75, 4.0)",-0.247,"[-0.491, 0.007]",0.065
,Appropriateness of the language,"4 (3.0, 5.0)","4 (3.0, 4.0)",0.132,"[-0.136, 0.375]",0.328
