Rater,Item,Median (IQR) human,Median (IQR) AI,Rank-biserial r,95% CI,p-value
Patients,Clarity,"3 (3.0, 5.0)","5 (4.0, 5.0)",-0.637,"[-1.000, -0.178]",0.013
,Appropriateness of the content,"3 (3.0, 4.25)","5 (3.0, 5.0)",-0.621,"[-0.909, -0.216]",0.010
,Positivity of the content,"3 (3.0, 5.0)","5 (3.0, 5.0)",-0.463,"[-0.829, 0.027]",0.060
,Appropriateness of the language,"3 (2.75, 4.0)","4 (3.0, 5.0)",-0.668,"[-0.947, -0.260]",0.005
Expert 1,Clarity,"4 (4.0, 4.0)","5 (4.0, 5.0)",-0.853,"[-1.000, -0.600]",0.000
,Completness,"5 (4.0, 5.0)","4 (4.0, 4.0)",0.917,"[0.714, 1.000]",0.000
,Correctness,"4 (4.0, 5.0)","4 (4.0, 5.0)",-0.200,"[-0.684, 0.228]",0.394
,Appropriateness of the language,"4 (4.0, 4.0)","5 (4.0, 5.0)",-0.836,"[-1.000, -0.532]",0.001
Expert 2,Clarity,"3 (3.0, 4.0)","4 (4.0, 4.0)",-0.581,"[-0.924, -0.187]",0.009
,Completness,"4 (3.0, 4.0)","3 (2.0, 4.0)",0.942,"[0.779, 1.000]",0.000
,Correctness,"4 (3.75, 4.0)","3 (3.0, 4.0)",0.380,"[-0.154, 0.908]",0.141
,Appropriateness of the language,"4 (3.0, 4.0)","4 (4.0, 4.0)",-0.135,"[-0.625, 0.396]",0.591
